* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:19:21
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca bass
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
88.257 6.694 -46.943
88.623 6.617 -46.831
88.989 6.542 -46.709
89.355 6.469 -46.575
89.722 6.398 -46.432
90.088 6.331 -46.283
90.454 6.266 -46.131
90.820 6.203 -45.977
91.187 6.141 -45.820
91.553 6.082 -45.658
91.919 6.024 -45.489
92.285 5.968 -45.316
92.651 5.913 -45.139
93.018 5.861 -44.961
93.384 5.810 -44.782
93.750 5.761 -44.605
94.116 5.713 -44.428
94.482 5.665 -44.248
94.849 5.619 -44.064
95.215 5.574 -43.871
95.581 5.530 -43.671
95.947 5.489 -43.468
96.313 5.449 -43.269
96.680 5.411 -43.078
97.046 5.373 -42.892
97.412 5.335 -42.702
97.778 5.298 -42.502
98.145 5.262 -42.294
98.511 5.229 -42.085
98.877 5.197 -41.889
99.243 5.166 -41.709
99.609 5.134 -41.538
99.976 5.101 -41.359
100.342 5.067 -41.160
100.708 5.036 -40.939
101.074 5.006 -40.710
101.440 4.979 -40.487
101.807 4.953 -40.281
102.173 4.927 -40.087
102.539 4.901 -39.895
102.905 4.874 -39.695
103.271 4.849 -39.486
103.638 4.824 -39.277
104.004 4.801 -39.074
104.370 4.778 -38.880
104.736 4.755 -38.690
105.103 4.732 -38.497
105.469 4.710 -38.300
105.835 4.688 -38.099
106.201 4.667 -37.900
106.567 4.646 -37.706
106.934 4.626 -37.517
107.300 4.606 -37.328
107.666 4.587 -37.138
108.032 4.567 -36.945
108.398 4.548 -36.751
108.765 4.530 -36.558
109.131 4.512 -36.368
109.497 4.495 -36.181
109.863 4.477 -35.993
110.229 4.460 -35.804
110.596 4.444 -35.614
110.962 4.427 -35.423
111.328 4.411 -35.232
111.694 4.396 -35.044
112.061 4.381 -34.859
112.427 4.366 -34.677
112.793 4.351 -34.495
113.159 4.336 -34.311
113.525 4.322 -34.125
113.892 4.308 -33.940
114.258 4.294 -33.756
114.624 4.281 -33.576
114.990 4.267 -33.398
115.356 4.254 -33.220
115.723 4.241 -33.042
116.089 4.228 -32.862
116.455 4.216 -32.683
116.821 4.204 -32.506
117.188 4.192 -32.332
117.554 4.180 -32.159
117.920 4.169 -31.986
118.286 4.157 -31.813
118.652 4.146 -31.639
119.019 4.135 -31.466
119.385 4.125 -31.296
119.751 4.114 -31.127
