* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:22:02
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca tweeter
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
91.553 4.879 6.463
91.919 4.880 6.488
92.285 4.881 6.513
92.651 4.881 6.537
93.018 4.882 6.561
93.384 4.883 6.584
93.750 4.883 6.607
94.116 4.884 6.629
94.482 4.885 6.652
94.849 4.885 6.676
95.215 4.886 6.700
95.581 4.886 6.724
95.947 4.887 6.748
96.313 4.887 6.772
96.680 4.888 6.797
97.046 4.889 6.821
97.412 4.889 6.846
97.778 4.890 6.870
98.145 4.891 6.894
98.511 4.891 6.918
98.877 4.892 6.941
99.243 4.893 6.966
99.609 4.893 6.990
99.976 4.894 7.015
100.342 4.895 7.039
100.708 4.896 7.061
101.074 4.896 7.084
101.440 4.897 7.106
101.807 4.898 7.130
102.173 4.898 7.155
102.539 4.899 7.179
102.905 4.900 7.204
103.271 4.900 7.227
103.638 4.901 7.251
104.004 4.902 7.274
104.370 4.902 7.298
104.736 4.903 7.323
105.103 4.904 7.347
105.469 4.904 7.370
105.835 4.905 7.392
106.201 4.906 7.415
106.567 4.906 7.439
106.934 4.907 7.463
107.300 4.908 7.487
107.666 4.908 7.511
108.032 4.909 7.534
108.398 4.910 7.557
108.765 4.911 7.580
109.131 4.911 7.603
109.497 4.912 7.627
109.863 4.913 7.651
110.229 4.914 7.674
110.596 4.914 7.697
110.962 4.915 7.720
111.328 4.916 7.744
111.694 4.916 7.768
112.061 4.917 7.792
112.427 4.918 7.816
112.793 4.919 7.839
113.159 4.920 7.862
113.525 4.920 7.884
113.892 4.921 7.906
114.258 4.922 7.929
114.624 4.922 7.953
114.990 4.923 7.977
115.356 4.924 8.002
115.723 4.925 8.026
116.089 4.925 8.049
116.455 4.926 8.072
116.821 4.927 8.095
117.188 4.928 8.118
117.554 4.928 8.141
117.920 4.929 8.163
118.286 4.930 8.186
118.652 4.931 8.209
119.019 4.931 8.233
119.385 4.932 8.256
119.751 4.933 8.279
120.117 4.934 8.302
120.483 4.934 8.325
120.850 4.935 8.348
121.216 4.936 8.372
121.582 4.937 8.396
121.948 4.937 8.420
122.314 4.938 8.443
122.681 4.939 8.465
123.047 4.940 8.486
123.413 4.941 8.509
123.779 4.941 8.532
124.146 4.942 8.555
124.512 4.943 8.579
124.878 4.944 8.603
125.244 4.944 8.627
125.610 4.945 8.651
125.977 4.946 8.674
126.343 4.947 8.697
126.709 4.948 8.719
127.075 4.949 8.740
127.441 4.949 8.762
127.808 4.950 8.784
128.174 4.951 8.808
128.540 4.952 8.833
128.906 4.952 8.857
129.272 4.953 8.880
129.639 4.954 8.902
130.005 4.955 8.923
130.371 4.956 8.944
130.737 4.957 8.966
131.104 4.957 8.989
131.470 4.958 9.012
131.836 4.959 9.036
132.202 4.960 9.061
132.568 4.961 9.085
132.935 4.962 9.108
133.301 4.962 9.129
133.667 4.963 9.150
134.033 4.964 9.172
134.399 4.965 9.194
134.766 4.966 9.217
135.132 4.966 9.240
135.498 4.967 9.263
135.864 4.968 9.286
136.230 4.969 9.309
136.597 4.970 9.331
136.963 4.971 9.353
137.329 4.971 9.375
137.695 4.972 9.398
138.062 4.973 9.420
138.428 4.974 9.443
138.794 4.975 9.466
139.160 4.975 9.489
139.526 4.976 9.512
139.893 4.977 9.535
140.259 4.978 9.557
140.625 4.979 9.580
140.991 4.980 9.602
141.357 4.981 9.625
141.724 4.982 9.648
142.090 4.982 9.670
142.456 4.983 9.692
142.822 4.984 9.714
143.188 4.985 9.736
143.555 4.986 9.758
143.921 4.987 9.780
144.287 4.988 9.803
144.653 4.988 9.826
145.020 4.989 9.849
145.386 4.990 9.871
145.752 4.991 9.894
146.118 4.992 9.917
146.484 4.993 9.939
146.851 4.994 9.961
147.217 4.995 9.983
147.583 4.996 10.005
147.949 4.996 10.027
148.315 4.997 10.050
148.682 4.998 10.074
149.048 4.999 10.098
149.414 5.000 10.121
149.780 5.001 10.143
150.146 5.002 10.163
150.513 5.003 10.183
150.879 5.004 10.203
151.245 5.005 10.225
151.611 5.005 10.248
151.978 5.006 10.271
152.344 5.007 10.294
152.710 5.008 10.316
153.076 5.009 10.337
153.442 5.010 10.358
153.809 5.011 10.380
154.175 5.012 10.402
154.541 5.013 10.426
154.907 5.014 10.448
155.273 5.015 10.470
155.640 5.016 10.491
156.006 5.017 10.511
156.372 5.017 10.533
156.738 5.018 10.556
157.104 5.019 10.579
157.471 5.020 10.603
157.837 5.021 10.625
158.203 5.022 10.647
158.569 5.023 10.668
158.936 5.024 10.690
159.302 5.025 10.711
159.668 5.026 10.734
160.034 5.027 10.756
160.400 5.028 10.778
160.767 5.029 10.799
161.133 5.030 10.820
161.499 5.030 10.842
161.865 5.031 10.863
162.231 5.032 10.885
162.598 5.033 10.907
162.964 5.034 10.928
163.330 5.035 10.950
163.696 5.036 10.971
164.062 5.037 10.993
164.429 5.038 11.015
164.795 5.039 11.038
165.161 5.040 11.060
165.527 5.041 11.081
165.894 5.042 11.102
166.260 5.043 11.123
166.626 5.044 11.145
166.992 5.045 11.167
167.358 5.046 11.189
167.725 5.047 11.211
168.091 5.048 11.233
168.457 5.049 11.255
168.823 5.050 11.276
169.189 5.051 11.298
169.556 5.052 11.319
