* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -8,0 dBFS, at 96000 Hz
* Dated: 4.10.2019 13:27:35
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: ; 
* Measurement: nov imp bass
* Smoothing: 1/12 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
95.581 20.406 -43.916
95.947 20.227 -43.763
96.313 20.053 -43.606
96.680 19.883 -43.445
97.046 19.719 -43.281
97.412 19.559 -43.113
97.778 19.404 -42.943
98.145 19.253 -42.770
98.511 19.106 -42.595
98.877 18.963 -42.417
99.243 18.824 -42.237
99.609 18.688 -42.056
99.976 18.557 -41.872
100.342 18.428 -41.686
100.708 18.304 -41.499
101.074 18.182 -41.311
101.440 18.063 -41.120
101.807 17.948 -40.929
102.173 17.836 -40.736
102.539 17.726 -40.542
102.905 17.619 -40.348
103.271 17.515 -40.152
103.638 17.414 -39.955
104.004 17.315 -39.758
104.370 17.219 -39.560
104.736 17.125 -39.362
105.103 17.033 -39.164
105.469 16.944 -38.966
105.835 16.858 -38.767
106.201 16.773 -38.569
106.567 16.691 -38.372
106.934 16.611 -38.175
107.300 16.533 -37.980
107.666 16.456 -37.785
108.032 16.382 -37.592
108.398 16.310 -37.400
108.765 16.239 -37.209
109.131 16.169 -37.020
109.497 16.102 -36.833
109.863 16.035 -36.647
110.229 15.970 -36.462
110.596 15.906 -36.278
110.962 15.843 -36.096
111.328 15.781 -35.914
111.694 15.720 -35.733
112.061 15.660 -35.553
112.427 15.601 -35.373
112.793 15.543 -35.193
113.159 15.486 -35.013
113.525 15.430 -34.834
113.892 15.374 -34.654
114.258 15.320 -34.474
114.624 15.266 -34.295
114.990 15.213 -34.115
115.356 15.161 -33.935
115.723 15.110 -33.755
116.089 15.060 -33.575
116.455 15.010 -33.395
116.821 14.962 -33.215
117.188 14.914 -33.035
117.554 14.867 -32.855
117.920 14.821 -32.676
118.286 14.776 -32.497
118.652 14.732 -32.318
119.019 14.688 -32.140
119.385 14.646 -31.962
119.751 14.603 -31.784
120.117 14.562 -31.606
120.483 14.522 -31.430
120.850 14.482 -31.253
121.216 14.443 -31.077
121.582 14.404 -30.902
121.948 14.367 -30.726
122.314 14.329 -30.552
122.681 14.293 -30.377
123.047 14.257 -30.204
123.413 14.222 -30.030
